,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,geometry,encounter_coordinates,num_encounters_at_coords,residing_mongodb_collection
88,2019-08-02T11:15:52.000Z,,,91244885@N00,Joey Jojo,True,"Whale Shark (Rhincodon typus), Bahia De Los Angeles Bay",https://live.staticflickr.com/65535/49568235902_5e525f0654_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
89,2019-08-02T11:23:48.000Z,,,91244885@N00,Joey Jojo,True,"Whale Shark (Rhincodon typus), Bahia De Los Angeles Bay",https://live.staticflickr.com/65535/49568009301_9739beed95_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
90,2019-09-20T20:51:04.000Z,,,22571051@N06,colin.robson11,True,_DSC4196,https://live.staticflickr.com/65535/49361133182_eaa484c6b8_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
91,2019-11-22T10:07:32.000Z,,,90431569@N04,RossTheWriter,True,Whale Shark,https://live.staticflickr.com/65535/49296156701_4880d3a169_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
92,2019-11-22T10:10:01.000Z,,,90431569@N04,RossTheWriter,True,Whale Shark,https://live.staticflickr.com/65535/49295668468_247600c802_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
93,2019-09-20T20:51:00.000Z,,,22571051@N06,colin.robson11,True,_DSC4193,https://live.staticflickr.com/65535/49360469198_50d5f0e78e_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
94,2019-09-20T20:57:57.000Z,,,22571051@N06,colin.robson11,True,Whale shark,https://live.staticflickr.com/65535/49360469178_e19b6b347f_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
95,2019-10-13T21:06:49.000Z,,,35056130@N08,Evanyc15,True,Whale Shark in Osaka Aquarium Kaiyukan,https://live.staticflickr.com/65535/49093914012_9979aff3a8_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
96,2019-10-13T21:06:58.000Z,,,35056130@N08,Evanyc15,True,Whale Shark in Osaka Aquarium Kaiyukan,https://live.staticflickr.com/65535/49093718086_27993274e3_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
97,2019-11-03T03:03:43.000Z,,,48023798@N06,GFinley,True,Swimming with a whale shark,https://live.staticflickr.com/65535/49093367391_6f4fab0f30_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
98,2019-11-02T18:35:12.000Z,,,22192074@N05,Plutonian Mac,True,MICR7331,https://live.staticflickr.com/31337/49004047047_1c40d14062_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
99,2019-08-07T10:18:33.000Z,,,22192074@N05,Plutonian Mac,True,MICR7323,https://live.staticflickr.com/65535/49004060252_0f3d96b64a_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
100,2019-08-07T10:36:53.000Z,,,22192074@N05,Plutonian Mac,True,MICR7333,https://live.staticflickr.com/65535/49003309833_f79c3f651b_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
101,2019-08-07T10:37:42.000Z,,,22192074@N05,Plutonian Mac,True,MICR7336,https://live.staticflickr.com/65535/49003854856_f16cef4b7a_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
102,2019-08-07T10:37:46.000Z,,,22192074@N05,Plutonian Mac,True,MICR7337,https://live.staticflickr.com/65535/49003854766_776cac87d9_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
