,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
78,2021-05-14T12:18:47.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180680385_8a966dda4f_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
79,2021-05-14T12:18:47.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51179583206_ae75e71ed0_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
80,2021-05-14T12:18:47.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51178900057_b178b3216c_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
81,2021-05-14T12:18:47.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180679580_01273775e6_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
82,2021-05-14T12:18:47.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51178899282_b7daa68830_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
83,2021-05-14T12:18:48.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51178898667_46c04d5ac2_b.jpg,True,,"Marmolejo (Jaén), España","(38.04432678222656, -4.170608043670654)",38.04432678222656,-4.170608043670654,"(nan, nan)",['humpback whale general'],3942
84,2021-05-14T12:18:48.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51178897777_882b7bb5b1_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
85,2021-05-14T12:18:48.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51179802058_b2007044d4_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
86,2021-05-14T12:18:48.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51179578846_08cd159396_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
87,2021-05-14T12:18:48.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180675480_6a21f590b3_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
88,2021-05-14T12:18:49.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51178894717_6780a6cf47_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
89,2021-05-14T12:18:49.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51179798838_2dbbe4c518_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
90,2021-05-14T12:18:49.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180369869_ce48499e72_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
91,2021-05-14T11:14:42.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51180671810_b8e68123a7_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
92,2021-05-14T16:07:24.000Z,,,52321838@N05,Saburosan,True,Baby jumps,https://live.staticflickr.com/65535/51179516531_55c024caff_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
93,2021-05-14T14:21:26.000Z,,,143279639@N03,Bay State Paul,True,"Stellwagen Bank, May 13",https://live.staticflickr.com/31337/51179873274_9b4550354a_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
94,2021-05-13T15:40:16.000Z,,,143279639@N03,Bay State Paul,True,Stellwagen Bank,https://live.staticflickr.com/65535/51180160200_831e07d2f8_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
95,2021-05-13T15:51:30.000Z,,,143279639@N03,Bay State Paul,True,Stellwagen Bank,https://live.staticflickr.com/65535/51179063856_a6611e7112_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
96,2021-02-17T09:52:09.000Z,,,52407599@N00,y.awanohara,True,IMG_9856,https://live.staticflickr.com/65535/51176717072_2b9b28e9dd_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
97,2020-10-28T17:45:07.000Z,,,95912351@N07,dudegeoff,True,20201028_174507-P1460776,https://live.staticflickr.com/65535/51182181609_a5fbdfe9c3_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
98,2021-05-09T13:03:52.000Z,,,148802031@N07,jmcarey73,True,Humpback Whale,https://live.staticflickr.com/65535/51177689463_39e16d517a_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
99,2021-02-17T09:52:24.000Z,,,52407599@N00,y.awanohara,True,IMG_9858,https://live.staticflickr.com/65535/51178189514_4a2a0ab528_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
100,2021-02-17T09:52:25.000Z,,,52407599@N00,y.awanohara,True,IMG_9859,https://live.staticflickr.com/65535/51177617038_dbcfb24a1d_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
101,2021-02-17T09:52:40.000Z,,,52407599@N00,y.awanohara,True,IMG_9862,https://live.staticflickr.com/65535/51177616928_f62495fb64_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
